Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-01-25,179.78,180.87,178.61,180.4,4502516.0,0.0,1.0,179.78,180.87,178.61,180.4,4502516.0
2019-01-24,177.0,177.53,175.3,177.29,3860309.0,0.0,1.0,177.0,177.53,175.3,177.29,3860309.0
2019-01-23,176.59,178.06,174.53,176.89,4910402.0,0.0,1.0,176.59,178.06,174.53,176.89,4910402.0
2019-01-22,177.49,178.6048,175.3626,177.11,6272715.0,0.0,1.0,177.49,178.6048,175.3626,177.11,6272715.0
2019-01-18,176.98,180.04,176.18,179.58,6371422.0,0.0,1.0,176.98,180.04,176.18,179.58,6371422.0
2019-01-17,174.01,175.46,172.0,174.87,6460254.0,0.0,1.0,174.01,175.46,172.0,174.87,6460254.0
2019-01-16,177.09,177.93,175.86,177.04,4037660.0,0.0,1.0,177.09,177.93,175.86,177.04,4037660.0
2019-01-15,176.08,177.8212,175.2,176.47,5000342.0,0.0,1.0,176.08,177.8212,175.2,176.47,5000342.0
2019-01-14,177.59,179.23,176.9007,178.81,3833187.0,0.0,1.0,177.59,179.23,176.9007,178.81,3833187.0
2019-01-11,177.93,180.26,177.12,179.41,3285063.0,0.0,1.0,177.93,180.26,177.12,179.41,3285063.0
2019-01-10,178.03,179.24,176.34,179.06,3605294.0,0.0,1.0,178.03,179.24,176.34,179.06,3605294.0
2019-01-09,177.87,181.27,177.0999,179.73,4921986.0,0.0,1.0,177.87,181.27,177.0999,179.73,4921986.0
2019-01-08,178.57,179.59,175.61,177.89,4722342.0,0.0,1.0,178.57,179.59,175.61,177.89,4722342.0
2019-01-07,173.83,178.18,173.83,177.04,4926996.0,0.0,1.0,173.83,178.18,173.83,177.04,4926996.0
2019-01-04,170.18,174.74,169.5203,173.62,4762450.0,0.0,1.0,170.18,174.74,169.5203,173.62,4762450.0
2019-01-03,171.84,171.84,168.21,168.61,4808660.0,0.0,1.0,171.84,171.84,168.21,168.61,4808660.0
2019-01-02,169.71,173.18,169.05,172.41,4242389.0,0.0,1.0,169.71,173.18,169.05,172.41,4242389.0
2018-12-31,171.47,173.24,170.65,171.82,4206020.0,0.0,1.0,171.47,173.24,170.65,171.82,4206020.0
2018-12-28,171.22,173.12,168.6,170.22,4551989.0,0.0,1.0,171.22,173.12,168.6,170.22,4551989.0
2018-12-27,166.44,170.46,163.3627,170.32,5069251.0,0.0,1.0,166.44,170.46,163.3627,170.32,5069251.0
2018-12-26,159.46,168.28,159.44,168.28,6141459.0,0.0,1.0,159.46,168.28,159.44,168.28,6141459.0
2018-12-24,160.16,161.4,158.09,158.14,4547363.0,0.0,1.0,160.16,161.4,158.09,158.14,4547363.0
2018-12-21,162.81,167.96,160.17,160.48,11813422.0,0.0,1.0,162.81,167.96,160.17,160.48,11813422.0
2018-12-20,166.28,167.31,162.23,164.16,7675587.0,0.0,1.0,166.28,167.31,162.23,164.16,7675587.0
2018-12-19,170.92,174.95,166.77,167.56,6996396.0,0.0,1.0,170.92,174.95,166.77,167.56,6996396.0
2018-12-18,168.9,171.95,168.5,170.04,4461668.0,0.0,1.0,168.9,171.95,168.5,170.04,4461668.0
2018-12-17,171.51,171.99,166.93,167.97,5631666.0,0.0,1.0,171.51,171.99,166.93,167.97,5631666.0
2018-12-14,172.98,175.14,171.95,172.29,4257541.0,0.0,1.0,172.98,175.14,171.95,172.29,4257541.0
2018-12-13,174.31,174.91,172.07,173.87,6101963.0,0.0,1.0,174.31,174.91,172.07,173.87,6101963.0
2018-12-12,173.75,176.87,172.81,174.21,5912631.0,0.0,1.0,173.75,176.87,172.81,174.21,5912631.0
2018-12-11,174.3,175.6,171.24,172.21,4753134.0,0.0,1.0,174.3,175.6,171.24,172.21,4753134.0
2018-12-10,173.39,173.985,167.73,171.69,5372325.0,0.0,1.0,173.39,173.985,167.73,171.69,5372325.0
2018-12-07,175.35,178.36,172.24,172.79,6098905.0,0.0,1.0,175.35,178.36,172.24,172.79,6098905.0
2018-12-06,173.5,176.04,170.4551,175.96,7511746.0,0.0,1.0,173.5,176.04,170.4551,175.96,7511746.0
2018-12-04,181.06,182.23,174.55,175.3,7058033.0,0.0,1.0,181.06,182.23,174.55,175.3,7058033.0
2018-12-03,183.29,183.5,179.35,181.74,7311208.0,0.0,1.0,183.29,183.5,179.35,181.74,7311208.0
2018-11-30,175.75,180.37,175.11,180.32,8941830.0,0.0,1.0,175.75,180.37,175.11,180.32,8941830.0
2018-11-29,176.8,177.27,174.92,175.66,4328177.0,0.0,1.0,176.8,177.27,174.92,175.66,4328177.0
2018-11-28,172.91,177.65,170.62,177.43,7133627.0,1.03,1.0,172.91,177.65,170.62,177.43,7133627.0
2018-11-27,169.11,173.38,168.82,173.22,7082424.0,0.0,1.0,168.1339644738317,172.37931973551497,167.84563823826068,172.22024319175165,7082424.0
2018-11-26,170.2,172.39,168.87,169.82,6139878.0,0.0,1.0,169.2176734282192,171.3950336209795,167.89534965818672,168.83986663678135,6139878.0
2018-11-23,169.39,170.33,168.47,168.85,2710983.0,0.0,1.0,168.41234842541743,169.3469231200269,167.49765829877845,167.8754650902163,2710983.0
2018-11-21,170.0,170.93,169.145,169.3,5752228.0,0.0,1.0,169.01882774851506,169.9434601591393,168.1687624677799,168.3228678695506,5752228.0
2018-11-20,169.25,172.0,167.0,169.05,8661014.0,0.0,1.0,168.27315644962457,171.00728454555642,166.03614255295304,168.07431076992043,8661014.0
2018-11-19,176.71,178.88,172.3,173.59,6075662.0,0.0,1.0,175.69010030258883,177.84757592737867,171.30555306511263,172.5881076992043,6075662.0
2018-11-16,173.99,177.605,173.51,177.02,6834197.0,0.0,1.0,172.98579905861257,176.5799347192648,172.50856942732264,175.99831110613025,6834197.0
2018-11-15,179.01,179.67,173.61,177.36,8663136.0,0.0,1.0,177.97682561918637,178.63301636221001,172.60799226717472,176.33634876162728,8663136.0
2018-11-14,182.61,182.9,179.15,179.9,7561076.0,0.0,1.0,181.55604785386083,181.84437408943182,178.11601759497927,178.86168889386977,7561076.0
2018-11-13,177.3,181.62,172.85,179.0,14274029.0,0.0,1.0,176.27669505771604,180.57176173932535,171.852378684299,177.96688333520117,14274029.0
2018-11-12,185.23,186.95,179.02,179.43,7590396.0,0.0,1.0,184.16092625798498,185.87099910344054,177.9867679031716,178.39440154656506,7590396.0
2018-11-09,188.32,188.48,184.96,185.99,4761172.0,0.0,1.0,187.23309200941387,187.39216855317719,183.8924845903844,184.9165398408607,4761172.0
2018-11-08,187.13,188.69,185.72,188.0,4054004.0,0.0,1.0,186.04996021517425,187.60095651686652,184.6480981732601,186.91493892188726,4054004.0
2018-11-07,183.79,187.68,182.06,187.23,4673834.0,0.0,1.0,182.7292373641152,186.59678583436065,181.00922223467444,186.14938305502633,4673834.0
2018-11-06,181.93,182.65,180.05,182.01,3338937.0,0.0,1.0,180.87997254286677,181.59581698980165,179.0108231536479,180.9595108147484,3338937.0
2018-11-05,181.02,182.41,179.3,182.19,3885319.0,0.0,1.0,179.97522470021295,181.35720217415667,178.2651518547574,181.1384719264821,3885319.0
2018-11-02,182.47,183.01,177.39,179.93,4730558.0,0.0,1.0,181.4168558780679,181.95373921326907,176.36617561358287,178.89151574582542,4730558.0
2018-11-01,176.84,180.86,175.9,180.46,5225343.0,0.0,1.0,175.8193499943965,179.81614815644963,174.88477529978707,179.41845679704136,5225343.0
2018-10-31,177.98,178.85,175.59,175.88,6339454.0,0.0,1.0,176.95277036871008,177.81774907542305,174.57656449624565,174.86489073181664,6339454.0
2018-10-30,173.16,176.43,172.64,176.24,5657107.0,0.0,1.0,172.1605894878404,175.41171635100304,171.64359072060964,175.2228129552841,5657107.0
2018-10-29,173.74,175.99,170.95,173.2,5918379.0,0.0,1.0,172.73724195898242,174.97425585565395,169.9633447271097,172.20035862378123,5918379.0
2018-10-26,176.88,177.34,170.91,172.23,9472266.0,0.0,1.0,175.85911913033732,176.31646419365686,169.92357559116888,171.23595707721617,9472266.0
2018-10-25,177.52,180.5,176.8262,179.07,5227977.0,0.0,1.0,176.49542530539057,179.45822593298217,175.8056296424969,178.0364793230976,5227977.0
2018-10-24,178.58,182.3693,176.31,176.97,6783890.0,0.0,1.0,177.54930740782248,181.3167370783369,175.29240894318056,175.9485996862042,6783890.0
2018-10-23,175.77,179.49,175.44,178.53,6978297.0,0.0,1.0,174.7555256079794,178.4540552504763,174.42743023646756,177.49959598789644,6978297.0
2018-10-22,180.82,181.4,177.56,178.75,4802428.0,0.0,1.0,179.77637902050878,180.3530314916508,176.53519444133138,177.718326235571,4802428.0
2018-10-19,180.34,180.99,178.57,179.85,7003956.0,0.0,1.0,179.29914938921888,179.94539784825733,177.53936512383726,178.81197747394373,7003956.0
2018-10-18,184.26,185.4,179.53,180.44,9188427.0,0.0,1.0,183.19652471141993,184.3299450857335,178.49382438641712,179.39857222907094,9188427.0
2018-10-17,189.64,190.67,183.98,185.17,8985667.0,0.0,1.0,188.54547349546115,189.56952874593745,182.91814075983413,184.10127255407372,8985667.0
2018-10-16,191.83,194.08,190.61,193.58,4057379.0,0.0,1.0,190.72283368822147,192.959847584893,189.50987504202624,192.46273338563265,4057379.0
2018-10-15,192.36,193.29,190.7021,191.17,3642752.0,0.0,1.0,191.2497747394374,192.17440715006163,189.60144347752998,190.0666429451978,3642752.0
2018-10-12,192.75,193.59,190.16,192.47,5448455.0,0.0,1.0,191.6375238148605,192.47267566961784,189.06247226269193,191.3591398632747,5448455.0
2018-10-11,193.71,196.67,188.47,189.74,5831416.0,0.0,1.0,192.59198307744032,195.5348991370615,187.382226269192,188.64489633531323,5831416.0
2018-10-10,199.11,199.24,193.35,193.7,6063135.0,0.0,1.0,197.960816429452,198.09006612125967,192.23406085397286,192.5820407934551,6063135.0
2018-10-09,197.95,199.18,195.58,195.75,4466322.0,0.0,1.0,196.80751148716797,198.03041241734843,194.451190182674,194.6202090104225,4466322.0
2018-10-08,196.24,198.66,195.06,198.41,3731050.0,0.0,1.0,195.10738092569764,197.51341365011768,193.93419141544325,197.2648565504875,3731050.0
2018-10-05,199.07,199.7,194.57,196.38,5015886.0,0.0,1.0,197.92104729351115,198.54741118457918,193.4470195001681,195.24657290149054,5015886.0
2018-10-04,203.65,203.76,198.27,198.85,5908831.0,0.0,1.0,202.47461335873587,202.58397848257312,197.1256645746946,197.7023170458366,5908831.0
2018-10-03,206.1622,206.46,203.65,203.74,4162453.0,0.0,1.0,204.97231394149952,205.26839515857895,202.47461335873587,202.56409391460272,4162453.0
2018-10-02,207.49,208.04,204.67,204.75,4427699.0,0.0,1.0,206.29245040905525,206.8392760282416,203.48872632522693,203.5682645971086,4427699.0
2018-10-01,208.52,209.79,207.37,207.6,3670601.0,0.0,1.0,207.31650565953157,208.5791757256528,206.17314300123277,206.40181553289253,3670601.0
2018-09-28,206.44,208.85,206.35,207.15,3966075.0,0.0,1.0,205.24851059060853,207.64460103104338,205.15903003474168,205.95441275355822,3966075.0
2018-09-27,207.5,207.83,205.6713,206.84,3217980.0,0.0,1.0,206.30239269304045,206.63048806455228,204.4842472206657,205.6462019500168,3217980.0
2018-09-26,208.58,209.14,207.23,207.52,2965845.0,0.0,1.0,207.3761593634428,207.93292726661434,206.03395102543988,206.32227726101087,2965845.0
